Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Comprendre l'impact des vidéos deep fake,"Imaginez ne pas pouvoir vous fier à ce que vous voyez ou entendez lorsque vous regardez une vidéo en ligne. Les deep fakes sont des médias manipulés, vidéo ou audio, dans lesquels une personne a été remplacée par l'image de quelqu'un d'autre pour faire croire qu'elle a dit ou fait quelque chose qui n'a jamais eu lieu. Les vidéos deep fake utilisent l'intelligence artificielle et peuvent être très convaincantes, même pour un œil exercé. Lorsqu'elles sont utilisées pour tromper le public, les vidéos deep fake peuvent avoir des conséquences désastreuses. Cependant, elles peuvent aussi avoir des avantages, comme offrir des reprises de tournage assistées par l'IA. Dans ce cours d'introduction, notre experte spécialisée dans l'audiovisuel Ashley Kennedy présente les dangers et avantages des vidéos deep fake. Elle donne également une vue d'ensemble de la technologie du deep fake et propose des outils pour identifier les vidéos deep fake, ainsi que des conseils sur la marche à suivre si vous soupçonnez ou repérez une vidéo deep fake.",Course,2021-12-10 16:49 UTC,N/A,false,N/A,
"10 minutes, un livre : 6 activités matinales indispensables","Si elles sont bien choisies, les activités que vous réalisez à votre réveil, votre routine matinale, ont le pouvoir de vous pousser rapidement vers vos objectifs. Dédiez ce temps précieux à des activités fondamentales pour votre développement personnel. C’est la personne que vous devenez qui définit le succès que vous allez rencontrer. Idéalement, dédiez 60 minutes à votre Miracle Morning. Voilà une suggestion de Hal Elrod pour structurer votre rituel du matin. 
</br>
Cette formation a été créée par Mind Parachutes. Nous sommes ravis d'héberger ce contenu sur notre plateforme.",Course,2021-06-08 09:20 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Solving Transportation Problems,"<p>Microsoft Excel can be a secret advantage when it comes to solving complex supply chain challenges. Follow along with instructor Curt Frye as he shows how to use the Excel Solver add-in to minimize transportation and transshipment costs within a supply chain. Curt covers a range of topics, including how to analyze fixed costs and facility opening decisions, enforce level of service constraints, and perform scenario analysis. He also provides problem scenarios for you to solve, then goes through the solutions for each. After watching this course and working through the examples, you'll be able to describe the techniques specialized supply chain programs use to arrive at their results.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-transportation-professional-certificate?u=104"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2025-05-25 15:02 UTC,N/A,false,N/A,
Illustrator 2021 New Features,"Curious about what Illustrator 2021 has to offer? This course lays out some of the most notable features and enhancements packed into the 2021 desktop and iPad versions of the popular vector graphics software. Instructor Tony Harmer goes over the new cloud documents in Adobe Illustrator on the desktop, which make automatic saving, working offline, and version history easier to manage. He discusses several new features on the desktop and covers a few under-the-hood enhancements. He then digs into the features on the iPad, highlighting new drawing options, tools that previously existed on the desktop and now have a home in the iPad version of Illustrator, and more.",Course,2025-04-30 14:26 UTC,N/A,false,N/A,
Dessiner et peindre avec Photoshop,"Avec Jérôme Bareille, partez à la découverte des outils de dessin de Photoshop CC. Dans cette formation destinée aux illustrateurs et aux graphistes, vous découvrirez le flux de travail complet, à commencer par la création du document puis la configuration de l'espace de travail et de votre tablette graphique. Après avoir visité les innombrables options et possibilités des pinceaux et des formes, vous verrez comment travailler la couleur et le contraste. Vous aborderez également les calques ainsi que des extensions spécialisées. À la fin de cette formation, vous serez prêt à vous lancer dans le dessin avec Photoshop CC.",Course,2020-10-10 05:13 UTC,N/A,false,N/A,
Découvrir l'analyse de données,"Les données sont importantes pour comprendre les enjeux et les défis dans notre société. Elles nous permettent de prendre des décisions stratégiques et d'être en mesure de mener des analyses pertinentes. Si vous souhaitez devenir data analyst ou que vous souhaitez vous orienter vers les métiers de la data science en général, ce cours représentera une brique essentielle dans votre cursus d'apprentissage. Omar Souissi, professeur associé en technologie de l'information et techniques d'optimisation, vous accompagne tout au long de cette formation adaptée de l'originale de Robin Hunt. Ensemble, vous allez étudier les principes de base ainsi que la méthodologie à suivre pour réussir vos projets d'analyse de données.",Course,2021-01-12 21:45 UTC,N/A,false,N/A,
Diriger comme un patron / une patronne,"Un patron est une personne qui dirige et qui commande. Il peut être soit un directeur, soit un supérieur hiérarchique. Ses responsabilités sont de connaître la direction dans laquelle il dirige son équipe et d'exercer son autorité avec légitimité. Le chef devra faire ses preuves auprès des nouvelles équipes et prouver qu'il mérite son poste ainsi que le respect. Dans ce cours, Laurent Storch partage avec vous de nombreux conseils pratiques issus de tous les enseignements qu'il a suivis et reçus. Expérimenté en management depuis plus de 30 ans, il vous donne ses recommandations afin de vous aider à conquérir le cœur de vos équipes et à accomplir de grandes choses avec elles.",Course,2020-12-31 20:20 UTC,N/A,false,N/A,
Apprendre à être accessible,"Si vous avez du mal à vous ouvrir et à aller vers les autres, alors suivez les conseils prodigués par Laurent Storch. Tout au long de cette formation, vous apprendrez à réfléchir et à analyser votre accessibilité et votre comportement en société. Puis, progressivement, vous aborderez des techniques et des méthodes qui vous permettront d'adopter la bonne attitude, de briser la glace et de démarrer une conversation. Cela passera par une remise en question et des efforts de votre part, mais vous offrira les clés vers le succès et la chance.",Course,2021-02-08 17:32 UTC,N/A,false,N/A,
Python pour la data science,"Omar Souissi vous invite à le suivre dans cette formation consacrée au langage de programmation Python dans le cadre de la data science. Après un rappel de ce qu'est la data science et du rôle que Python y joue, vous aborderez un certain nombre d'opérations de base et vous procéderez à la collecte, à la manipulation et à la visualisation de différents types de données. Puis, vous vous initierez progressivement au machine learning et, enfin, au deep learning. Vous aborderez tout au long de cette formation des outils et des bibliothèques dédiés comme NumPy, Pandas, Matplotlib et TensorFlow.",Course,2020-10-10 05:14 UTC,N/A,false,N/A,
Angular : Les templates,"Si vous souhaitez développer avec Angular 2, suivez cette formation d'Emmanuel Henri. Destinée aux développeurs web ayant déjà une bonne expérience du HTML et des CSS, elle vous permettra d'aborder plus facilement Angular grâce à ses templates. Après avoir assimilé les principes de base des templates, vous étudierez en détail la syntaxe des directives et les notions de data binding. Puis, vous vous initierez aux techniques d'animation et vous bâtirez un projet en vous reposant sur des exemples concrets. À la fin de cette formation, vous aurez toutes les cartes en main pour développer des applications web et pour progresser avec Angular 2.",Course,2021-02-01 06:53 UTC,N/A,false,N/A,
Découvrir Python 3,"Dans cette formation de Rudi Bruchez, découvrez le langage Python ! Il s’agit d’un langage très agréable et simple à apprendre. Vous découvrirez Python de façon interactive à travers son invite de commande, puis de façon plus complexe avec l’utilisation de scripts. Vous apprendrez la programmation orientée objet, ainsi que l'utilisation des structures de données comme les dictionnaires, la gestion des erreurs et la création des classes. Bref, vous aborderez les points essentiels pour bien démarrer avec Python !",Course,2020-12-01 16:23 UTC,N/A,false,N/A,
L'essentiel de Python 3 (2018),"Si vous désirez démarrer avec un langage de programmation simple d'un point de vue syntaxique et très peu typé, découvrez cette formation sur Python 3. Denis Réant vous accompagne dans la prise en main de ce langage qui permet d'effectuer de simples programmes, jusqu'à l'écriture complète d'un système d'exploitation tel qu'Ubuntu de Linux. Ensemble, vous aborderez les structures de contrôle, les tuples, les listes, les dictionnaires et les itérateurs. Vous découvrirez aussi les fonctions, les classes ainsi que la programmation orientée objet. Puis, vous mettrez en place vos premières applications graphiques en utilisant la bibliothèque Tkinter. Vous vous initierez à la data science grâce aux nombreuses bibliothèques scientifiques mises à disposition par la communauté. Enfin, vous apprendrez à utiliser la bibliothèque PyQt5 qui vous permettra d'effectuer des interfaces graphiques en Python tout en introduisant des syntaxes propres à l'environnement Qt.",Course,2022-02-20 15:21 UTC,N/A,false,N/A,
Excel : Les tableaux croisés dynamiques (2018),"Avec Aurélien Delaux, partez à la découverte des tableaux croisés dynamiques (TCD), un puissant outil de gestion de données proposé par Excel 365. Toujours très axées sur la pratique, les vidéos présentées ici vous permettront de créer et de tirer parti des TCD, tout en facilitant l'accès aux données et en soignant leur présentation. Au terme de cette formation accompagnée d'exercices, vous aurez toutes les cartes en main pour exploiter la puissance des TCD.",Course,2021-01-15 07:36 UTC,N/A,false,N/A,
Power BI : Maîtriser les fonctions de la Time Intelligence du DAX,"Dans cette formation d'André Meyer, vous aborderez la notion de Time Intelligence du DAX, le langage de la solution d'analyse de données Microsoft Power BI. Dans un premier temps, vous aborderez les conventions du langage et les notions de tables de temps, avant d'importer les données. Puis à l'aide de CALCULATE, de motifs et de fonctions, vous apprendrez à maîtriser le temps. Vous effectuerez également des analyses de type Time Intelligence, notamment avec des calculs de cumul, de variation et de moyenne à date. À la fin de cette formation, vous maîtriserez les fonctions de Time Intelligence du langage DAX.",Course,2022-03-28 13:59 UTC,N/A,false,N/A,
Python Practice: Object-Oriented Programming,"<p>Python is a popular programming language that can be used to work with data, build applications, and solve problems, on many types of devices. This code challenge with Scott Simpson, Senior Staff Instructor at LinkedIn Learning, is designed to help you test your knowledge of object-oriented programming in Python. The course includes five code challenges that cover the concepts around object-oriented programming. You can build and test your solutions to these challenges in the built-in interactive coding environment without needing any special software. When you finish each challenge, you can watch solution videos to see how they were solved. Are you ready to try out your Python object-oriented programming skills?</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-04-09 10:04 UTC,N/A,false,N/A,
L'essentiel du HTML5 ,"Si vous êtes développeur web, débutant ou confirmé, découvrez le langage HTML5, avec lequel vous allez bâtir vos sites Internet. Après avoir abordé son rôle et son histoire, Damien Bruyndonckx détaillera son fonctionnement. Vous entrerez alors dans le vif du sujet à l'aide d'exemples concrets. Vous apprendrez à insérer des champs de texte puis vous verrez comment ajouter du contenu multimédia. Vous structurerez les pages, vous incorporerez des liens et vous créerez des formulaires. Après avoir finalisé le site, vous aborderez également les outils permettant d'améliorer l'accessibilité, notamment pour les personnes souffrant de déficiences visuelles, auditives ou motrices.",Course,2021-08-18 21:37 UTC,N/A,false,N/A,
SQL avancé pour les data scientists,"Si, en tant que data scientist, vous souhaitez vous former au langage SQL et tirer parti des données relationnelles, alors suivez cette formation de Madjid Khichane. Après avoir abordé l'intérêt de SQL dans le domaine de la data science, vous procéderez à son installation, à sa configuration puis vous mettrez en place un projet. Au fur et à mesure des explications de votre formateur et de ses nombreux exemples concrets, vous apprendrez à rechercher des données et à effectuer des requêtes SQL, tout en mettant en œuvre des opérateurs.",Course,2021-04-26 03:05 UTC,N/A,false,N/A,
Azure for DevOps: Containers,"Containers are becoming a ubiquitous format for packaging applications. They democratize the cloud, as containerized applications can be lifted and shifted more easily than traditional applications. This course explains how to leverage the container-based technologies in Microsoft Azure, including the popular Azure Kubernetes Service (AKS), and study for the container-specific objectives from the Azure for DevOps (AZ-400) certification exam. Learn how to build and run secure containerized applications in Dockerfiles, create an Azure Container Registry (ACR) to enable version control and build management, and host your containerized apps from an Azure Container Instance (ACI). In the fourth chapter, instructor Karl Ots—an Azure MVP and Microsoft Regional Director—explains how to deploy apps to Azure Kubernetes Services. Along the way, he introduces the security features for containerized apps in Azure, such as ACR security controls and secrets management for ACI and AKS.<br><br>

Learn more about the AZ-400 exam at <a href=""https://docs.microsoft.com/en-us/learn/certifications/exams/az-400"" target=""_blank"">https://docs.microsoft.com/en-us/learn/certifications/exams/az-400</a>.",Course,2020-10-01 18:31 UTC,N/A,false,N/A,
SQL : Défis code (2020),"Écrire des requêtes SQL, c'est avant tout penser en SQL. Prendre une question, comme « Trouver des participants à des formations en 2011 qui n'ont pas participé à des formations en 2012 », et la traduire en relations, jointures, sous-requêtes, c'est toute une façon de penser. En compagnie de Rudi Bruchez, relevez 14 défis SQL pour évaluer votre capacité à jouer avec les syntaxes et les particularités du langage SQL. Vous obtiendrez ainsi ce que vous voulez des données de vos tables.",Course,2022-08-31 20:22 UTC,N/A,false,N/A,
JavaScript: Hashmaps,"Hashmaps are a very useful data structure in programming languages. In JavaScript, data is stored in key-value pairs, using hashmaps to allow for quick retrieval of data. In this course, software engineer and web evangelist Tiffany Graves covers what hashmaps are and why they are used. Learn how the built-in functions for hashmaps, get() and set(), offer quick data retrieval, which leads to an optimal time complexity. Explore the relatively optimal space complexity of Hashmaps in JavaScript, as well.  Plus, dive into a discussion of hashing and the basics of what a hash function is.",Course,2024-09-27 08:12 UTC,N/A,false,N/A,
Microsoft Cybersécurité : La sécurité et défense de Windows,"Dans cette formation qui s'adresse aux responsables d'environnements Windows, vous découvrirez toutes les facettes des menaces et les moyens à mettre en œuvre pour protéger votre système d'exploitation Microsoft. Après avoir abordé tout ce qui concerne l'authentification, vous découvrirez les moyens et les technologies de contrôle d'accès, de déploiement de stratégies d'audit et d'exploitation de la cryptographie. Puis, vous verrez quelles sont les solutions face aux attaques contre l'intégrité de Windows, le vol d'informations, la vulnérabilité matérielle et l'exécution de code malveillant.",Course,2023-05-06 22:05 UTC,N/A,false,N/A,
SOLIDWORKS : La conception de pièces de tôlerie,"SOLIDWORKS est l'un des logiciels de CAO et de modélisation les plus utilisés au monde. Il vous permet de concevoir des pièces ou des ensembles pour tout type de projet, du plus simple au plus complexe. Dans ce cours, vous aborderez une introduction sur la théorie de la tôlerie ainsi que les notions de facteur K, de vé ou de fibre neutre. Fabian Perrée, formateur spécialisé CAO et certifié SOLIDWORKS Expert, vous donne l'ensemble des méthodes et outils qui vous aideront à dimensionner vos pièces de tôlerie de manière efficace et professionnelle. Ainsi, vous serez en mesure de dessiner des pièces de qualité conformes aux attentes et aux procédés de fabrication de vos clients.",Course,2021-08-26 16:44 UTC,N/A,false,N/A,
Maîtriser Excel par la pratique,"Si vous devez utiliser Excel au quotidien, ce cours est fait pour vous. À travers des exemples précis, Martial Auroy vous guide dans l'utilisation d'Excel et vous donne ses meilleures astuces. Vous aborderez ensemble des thèmes comme l’ajustement de vos impressions, la zone d’impression, les tableaux croisés dynamiques, la mise en forme conditionnelle, etc. Vous saurez ainsi, à la fin de cette formation très complète, comment vous organiser, gérer votre classeur, calculer, manipuler du texte et passer des éléments en tableau et même imprimer et exporter !",Course,2020-11-02 09:51 UTC,N/A,false,N/A,
Faire face aux microagressions au travail,"Toni Lowe est une conférencière prisée et une responsable RH spécialisée dans la diversité, l’inclusion, l’équité et l’appartenance. Dans ce cours, elle vous apprend à identifier et affronter les actes ou les comportements subtils du quotidien, volontaires ou non, qui perpétuent des préjugés concernant les groupes marginalisés sur le lieu de travail. Elle définit les microagressions et en identifie trois grands types : les microattaques, les micro-insultes et les micro-invalidations. Si « micro » signifie « petit », chaque nouvelle microagression a un impact fort sur l’expérience, la santé physique et le bien-être mental des employés. Découvrez les mesures à prendre pour créer des espaces sûrs sur votre lieu de travail afin de pouvoir gérer la situation et développer un système de soutien.",Course,2022-03-04 21:30 UTC,N/A,false,N/A,
Les outils IA du marketing numérique,"Révolutionnez votre stratégie marketing avec l’intelligence artificielle ! Cette formation vous propose un tour d’horizon complet des outils IA appliqués au marketing digital, vous permettant d’automatiser, personnaliser et optimiser vos actions sur des leviers clés : acquisition, conversion, fidélisation et engagement client. Découvrez comment utiliser l’IA pour créer des identités visuelles, générer du contenu pertinent, améliorer le SEO, collecter des données et automatiser vos campagnes. Apprenez à exploiter ces outils pour maximiser l'impact de vos actions marketing tout en gagnant en efficacité et performance. Un cours incontournable pour intégrer l'IA dans vos stratégies marketing et amener vos campagnes à un niveau supérieur.",Course,2025-11-02 20:05 UTC,N/A,false,N/A,
Améliorer sa mémoire,"Qu'il s'agisse de nous remémorer notre enfance, de développer notre personnalité à travers notre expérience ou d'apprendre de nos erreurs, la mémoire est cruciale à notre existence en tant qu'individu. Dans le monde du travail, cette faculté est critique lorsqu'il s'agit de se rappeler des faits et des chiffres sur son produit ou des tâches que l'on a réalisées. Sabria Lagoun, doctorante en neurosciences et spécialiste de la communication scientifique, vous présente ce cours pour aborder la mémoire comme une faculté du cerveau. Ensemble, vous prendrez la tangente et examinerez votre mémoire du point de vue des neurosciences. Vous apprendrez des techniques scientifiquement testées et prouvées afin d'augmenter vos performances mnésiques.",Course,2020-11-26 05:26 UTC,N/A,false,N/A,
Foundations of Algorithmic Thinking with Python,"The word “algorithm,” at one time the sole province of mathematics and computer science, has entered the modern vernacular because, for better or worse, algorithms have never been more important or more impactful in daily life. If you’re a developer, you need to be familiar with a wide range of algorithmic thinking in order to be able to solve new problems as they present themselves. If you’re already familiar with Python, becoming more versed in algorithmic thinking is a great way to increase your value as a developer. In this course, Robin Andrews explains how Python, because of its clarity and expressiveness, is the ideal tool for exploring algorithmic thinking. He shows you tools to help you understand the flow of algorithms, explains the brute force approach to solving algorithms, details the concepts of time and space complexity with regard to algorithm analysis, the decrease and conquer strategy, and much more.",Course,2022-12-30 13:14 UTC,N/A,false,N/A,
Réussir sa transition vers des événements virtuels,"Tous les évènements bien organisés peuvent servir de catalyseur pour atteindre des objectifs métiers plus larges. En organisant un évènement en ligne plutôt qu’en présentiel, vous pouvez atteindre ces objectifs tout en créant une expérience plus inclusive et plus respectueuse de l’environnement. Dans ce cours, la formatrice Taylor Estes vous explique comment procéder et comment élaborer des expériences en ligne transformatrices pour les participants. Elle partage des techniques pour maintenir l’engagement des participants à distance du début à la fin. Elle vous apprend à raconter des histoires passionnantes, à exploiter les bénéfices du contenu généré par les utilisateurs pour interagir avec les participants, et à gérer la production de façon globale.",Course,2022-04-12 09:31 UTC,N/A,false,N/A,
"Power BI Service : Publier, partager et collaborer autour des rapports","Power BI Service est, à l'origine, une plateforme qui permet de publier et diffuser un rapport de type Power BI. Avec le temps, de nouvelles fonctionnalités, originales et étonnantes, se sont ajoutées. Dans cette formation, vous allez découvrir comment Power BI Service permet de créer un rapport à partir d'une nouvelle source ou de données déjà prêtes-à-l'emploi. Vous allez voir comment consulter le rapport dans PowerPoint, Teams ou Excel, et comment créer votre tableau de bord personnalisé ainsi que les métriques essentielles. André Meyer-Roussilhon, auteur de nombreux ouvrages sur Power BI, vous emmène à la découverte ou la redécouverte de Power BI Service !",Course,2026-02-08 15:44 UTC,N/A,false,N/A,
L'essentiel de Power BI (2020),"Dans cette formation, découvrez Power BI, la solution de Microsoft qui permet d'analyser, consulter et partager les données. André Meyer, consultant expert passionné par la transmission, aborde avec vous les principes, les composants et la configuration de Power BI à l'aide d'exemples concrets. Ensemble, vous verrez comment effectuer des requêtes de données vers Excel ou d'autres sources et préparer ces éléments. Vous apprendrez également à créer des tables, notamment de temps, des relations et à exploiter vos données sous forme de visuels. Puis, vous procéderez au filtrage et à l'exploitation des données aux formats PDF et Excel.
</p><p> Note : Une nouvelle édition de ce cours est disponible <a href=""https://www.linkedin.com/learning/l-essentiel-de-power-bi-2024/"" target=""_blank"">L'essentiel de Power BI</a>.</p>",Course,2025-11-19 15:12 UTC,N/A,false,N/A,
DAX : Niveau avancé,"Conçue pour les utilisateurs et utilisatrices ayant déjà des bases en DAX, cette formation vous apprendra à organiser vos calculs, simplifier vos formules et créer des tableaux de bord interactifs. Vous maîtriserez des techniques avancées comme l'intelligence temporelle, les mesures dynamiques et l’optimisation des performances, tout en transformant vos données brutes en outils décisionnels puissants. Rejoignez ce cours pour explorer tout le potentiel analytique de vos données et révéler des insights percutants répondant aux enjeux de votre activité.",Course,2025-10-29 13:33 UTC,N/A,false,N/A,
Excel: VLOOKUP and XLOOKUP for Beginners,"Many Excel users hear “VLOOKUP” and envision a complicated function reserved only for power users. Not so! VLOOKUP—and XLOOKUP, the newer version for 365 subscribers—are among Excel’s most powerful functions, yet you can master them with a few simple steps. In this mini-course, Jess Stratton walks you step-by-step through creating a simple lookup in Excel using both VLOOKUP and XLOOKUP, then shows you how to error-proof your formulas. Supercharge your Excel skills and save time with these powerful lookup functions.",Course,2025-09-09 06:42 UTC,N/A,false,N/A,
Nano Tips for Effortless Influence with Shadé Zahrai,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai shows you how to exude effortless influence. She starts with outlining the basics of influence, followed by sharing key influence tactics—leveraging social proof, offering choices, and influencing with emotional intelligence. Shadé then takes it up a level with some pro-level influence techniques, explaining how to influence those with greater authority and how to sway skeptics.",Course,2025-12-06 01:37 UTC,N/A,false,N/A,
Découvrir Power BI,"Dans cette formation qui s'adresse aux débutants, Benjamin Ejzenberg vous présente Power BI, l'application et le service de visualisation, d'analyse de données et de Business Intelligence (BI) de Microsoft. Après avoir abordé son rôle, les différences avec Excel et ses composants clés, vous procèderez à l'importation des données en respectant quatre règles d'or présentées ici. Vous découvrirez l'interface ainsi que les outils de visualisation des données, avec la mise en forme de votre rapport, puis vous verrez comment analyser les données, publier et partager les rapports.",Course,2025-06-06 03:40 UTC,N/A,false,N/A,
Communiquer avec empathie,"Quand vous cherchez à comprendre la perspective de quelqu’un, vous faites preuve d’empathie. Dans les entreprises qui encouragent leurs employés à communiquer avec empathie, les collaborateurs sont plus enclins à s’exprimer franchement. Ils ont également le sentiment que leur travail compte et se sentent en sécurité. Voilà pourquoi l’empathie au travail est essentielle à la réussite de l’entreprise. Dans cette formation, Sharon Steed, experte en communication, vous présente les principes de la communication empathique et vous donne plusieurs stratégies spécifiques pour vous aider à mieux gérer les conversations difficiles. Vous apprendrez à faire preuve d’empathie dans vos conversations pour mieux discuter en tête à tête ou en équipe.",Course,2021-06-13 18:21 UTC,N/A,false,N/A,
